Institute,Program,Quota,Seat Type,Gender,OR,CR
"Indian Institute of Information Technology (IIIT)Kota, Rajasthan","Electronics and Communication Engineering (4 Years, B.Tech)",AI,OPEN,Female-only (including Supernumerary),31714.0,33828.0
"Indian Institute of Information Technology (IIIT)Kota, Rajasthan","Electronics and Communication Engineering (4 Years, B.Tech)",AI,OPEN (PwD),Gender-Neutral,2423.0,2423.0
"Indian Institute of Information Technology (IIIT)Kota, Rajasthan","Electronics and Communication Engineering (4 Years, B.Tech)",AI,EWS,Gender-Neutral,4913.0,5546.0
"Indian Institute of Information Technology (IIIT)Kota, Rajasthan","Electronics and Communication Engineering (4 Years, B.Tech)",AI,EWS,Female-only (including Supernumerary),6125.0,6135.0
"Indian Institute of Information Technology (IIIT)Kota, Rajasthan","Electronics and Communication Engineering (4 Years, B.Tech)",AI,OBC-NCL,Gender-Neutral,10042.0,12920.0
"Indian Institute of Information Technology (IIIT)Kota, Rajasthan","Electronics and Communication Engineering (4 Years, B.Tech)",AI,OBC-NCL,Female-only (including Supernumerary),15617.0,17308.0
"Indian Institute of Information Technology (IIIT)Kota, Rajasthan","Electronics and Communication Engineering (4 Years, B.Tech)",AI,SC,Gender-Neutral,6416.0,8237.0
"Indian Institute of Information Technology (IIIT)Kota, Rajasthan","Electronics and Communication Engineering (4 Years, B.Tech)",AI,SC,Female-only (including Supernumerary),8494.0,8994.0
"Indian Institute of Information Technology (IIIT)Kota, Rajasthan","Electronics and Communication Engineering (4 Years, B.Tech)",AI,ST,Gender-Neutral,2483.0,3871.0
"Indian Institute of Information Technology (IIIT)Kota, Rajasthan","Electronics and Communication Engineering (4 Years, B.Tech)",AI,ST,Female-only (including Supernumerary),4749.0,4749.0
Indian Institute of Information Technology Guwahati,"Computer Science and Engineering (4 Years, B.Tech)",AI,OPEN,Gender-Neutral,15041.0,20625.0
Indian Institute of Information Technology Guwahati,"Computer Science and Engineering (4 Years, B.Tech)",AI,OPEN,Female-only (including Supernumerary),22514.0,30265.0
Indian Institute of Information Technology Guwahati,"Computer Science and Engineering (4 Years, B.Tech)",AI,OPEN (PwD),Gender-Neutral,844.0,1125.0
Indian Institute of Information Technology Guwahati,"Computer Science and Engineering (4 Years, B.Tech)",AI,EWS,Gender-Neutral,3104.0,3218.0
Indian Institute of Information Technology Guwahati,"Computer Science and Engineering (4 Years, B.Tech)",AI,EWS,Female-only (including Supernumerary),4695.0,4695.0
Indian Institute of Information Technology Guwahati,"Computer Science and Engineering (4 Years, B.Tech)",AI,OBC-NCL,Gender-Neutral,5570.0,8246.0
Indian Institute of Information Technology Guwahati,"Computer Science and Engineering (4 Years, B.Tech)",AI,OBC-NCL,Female-only (including Supernumerary),10432.0,13560.0
Indian Institute of Information Technology Guwahati,"Computer Science and Engineering (4 Years, B.Tech)",AI,OBC-NCL (PwD),Gender-Neutral,629.0,629.0
Indian Institute of Information Technology Guwahati,"Computer Science and Engineering (4 Years, B.Tech)",AI,SC,Gender-Neutral,1928.0,5043.0
Indian Institute of Information Technology Guwahati,"Computer Science and Engineering (4 Years, B.Tech)",AI,SC,Female-only (including Supernumerary),6466.0,6983.0
Indian Institute of Information Technology Guwahati,"Computer Science and Engineering (4 Years, B.Tech)",AI,ST,Gender-Neutral,1183.0,2614.0
Indian Institute of Information Technology Guwahati,"Computer Science and Engineering (4 Years, B.Tech)",AI,ST,Female-only (including Supernumerary),2133.0,3025.0
Indian Institute of Information Technology Guwahati,"Electronics and Communication Engineering (4 Years, B.Tech)",AI,OPEN,Gender-Neutral,6816.0,32508.0
Indian Institute of Information Technology Guwahati,"Electronics and Communication Engineering (4 Years, B.Tech)",AI,OPEN,Female-only (including Supernumerary),30538.0,35265.0
Indian Institute of Information Technology Guwahati,"Electronics and Communication Engineering (4 Years, B.Tech)",AI,OPEN (PwD),Gender-Neutral,1756.0,1756.0
Indian Institute of Information Technology Guwahati,"Electronics and Communication Engineering (4 Years, B.Tech)",AI,EWS,Gender-Neutral,5038.0,5114.0
Indian Institute of Information Technology Guwahati,"Electronics and Communication Engineering (4 Years, B.Tech)",AI,OBC-NCL,Gender-Neutral,9744.0,13335.0
Indian Institute of Information Technology Guwahati,"Electronics and Communication Engineering (4 Years, B.Tech)",AI,OBC-NCL,Female-only (including Supernumerary),15454.0,17194.0
Indian Institute of Information Technology Guwahati,"Electronics and Communication Engineering (4 Years, B.Tech)",AI,OBC-NCL (PwD),Gender-Neutral,1248.0,1248.0
Indian Institute of Information Technology Guwahati,"Electronics and Communication Engineering (4 Years, B.Tech)",AI,SC,Gender-Neutral,6443.0,8502.0
Indian Institute of Information Technology Guwahati,"Electronics and Communication Engineering (4 Years, B.Tech)",AI,SC,Female-only (including Supernumerary),7516.0,9078.0
Indian Institute of Information Technology Guwahati,"Electronics and Communication Engineering (4 Years, B.Tech)",AI,ST,Gender-Neutral,640.0,3575.0
Indian Institute of Information Technology Guwahati,"Electronics and Communication Engineering (4 Years, B.Tech)",AI,ST,Female-only (including Supernumerary),3547.0,3547.0
