Institute,Program,Seat Type,Gender,OR,CR
IIT Bhubaneswar,"Mechanical Engineering and M. Tech. in
Thermal Science & Engineering (5
Years, B. Tech - M.Tech Dual Deg.)",SC,Female-only (including Supernumerary),3317,3317
IIT Bhubaneswar,"Mechanical Engineering and M. Tech. in
Thermal Science & Engineering (5
Years, B. Tech - M.Tech Dual Deg.)",ST,Gender-Neutral,1049,1049
IIT Bhubaneswar,"Mechanical Engineering with M.Tech.
inManufacturingEngineering(5Years,
B. Tech - M.Tech Dual Deg.)",OPEN,Gender-Neutral,10269,11778
IIT Bhubaneswar,"Mechanical Engineering with M.Tech.
inManufacturingEngineering(5Years,
B. Tech - M.Tech Dual Deg.)",OPEN,Female-only (including Supernumerary),19294,19294
IIT Bhubaneswar,"Mechanical Engineering with M.Tech.
inManufacturingEngineering(5Years,
B. Tech - M.Tech Dual Deg.)",EWS,Gender-Neutral,1724,1756
IIT Bhubaneswar,"Mechanical Engineering with M.Tech.
inManufacturingEngineering(5Years,
B. Tech - M.Tech Dual Deg.)",OBC-NCL,Gender-Neutral,4096,4374
IIT Bhubaneswar,"Mechanical Engineering with M.Tech.
inManufacturingEngineering(5Years,
B. Tech - M.Tech Dual Deg.)",OBC-NCL,Female-only (including Supernumerary),8408,8408
IIT Bhubaneswar,"Mechanical Engineering with M.Tech.
inManufacturingEngineering(5Years,
B. Tech - M.Tech Dual Deg.)",SC,Gender-Neutral,2306,2306
IIT Bhubaneswar,"Mechanical Engineering with M.Tech.
inManufacturingEngineering(5Years,
B. Tech - M.Tech Dual Deg.)",SC,Female-only (including Supernumerary),3285,3285
IIT Bhubaneswar,"Mechanical Engineering with M.Tech.
inManufacturingEngineering(5Years,
B. Tech - M.Tech Dual Deg.)",ST,Gender-Neutral,1025,1025
IIT Bhubaneswar,"Metallurgical and Materials
Engineering (4 Years, B. Tech)",OPEN,Gender-Neutral,9953,14122
IIT Bhubaneswar,"Metallurgical and Materials
Engineering (4 Years, B. Tech)",OPEN,Female-only (including Supernumerary),18657,18693
IIT Bhubaneswar,"Metallurgical and Materials
Engineering (4 Years, B. Tech)",EWS,Gender-Neutral,2185,2185
IIT Bhubaneswar,"Metallurgical and Materials
Engineering (4 Years, B. Tech)",EWS,Female-only (including Supernumerary),3442,3442
IIT Bhubaneswar,"Metallurgical and Materials
Engineering (4 Years, B. Tech)",OBC-NCL,Gender-Neutral,4661,5010
IIT Bhubaneswar,"Metallurgical and Materials
Engineering (4 Years, B. Tech)",OBC-NCL,Female-only (including Supernumerary),7466,7466
IIT Bhubaneswar,"Metallurgical and Materials
Engineering (4 Years, B. Tech)",SC,Gender-Neutral,2170,2429
IIT Bhubaneswar,"Metallurgical and Materials
Engineering (4 Years, B. Tech)",SC,Female-only (including Supernumerary),3643,3643
IIT Bhubaneswar,"Metallurgical and Materials
Engineering (4 Years, B. Tech)",ST,Gender-Neutral,1269,1269
IIT Bhubaneswar,"Metallurgical and Materials
Engineering (4 Years, B. Tech)",ST,Female-only (including Supernumerary),99,99
IIT Bhubaneswar,"Metallurgical and Materials
Engineering(5Years, B. Tech-M.Tech
Dual Deg.)",OPEN,Gender-Neutral,13731,14970
IIT Bhubaneswar,"Metallurgical and Materials
Engineering(5Years, B. Tech-M.Tech
Dual Deg.)",OPEN,Female-only (including Supernumerary),21645,21645
IIT Bhubaneswar,"Metallurgical and Materials
Engineering(5Years, B. Tech-M.Tech
Dual Deg.)",EWS,Gender-Neutral,2248,2248
IIT Bhubaneswar,"Metallurgical and Materials
Engineering(5Years, B. Tech-M.Tech
Dual Deg.)",OBC-NCL,Gender-Neutral,5277,5316
IIT Bhubaneswar,"Metallurgical and Materials
Engineering(5Years, B. Tech-M.Tech
Dual Deg.)",OBC-NCL,Female-only (including Supernumerary),8961,8961
IIT Bhubaneswar,"Metallurgical and Materials
Engineering(5Years, B. Tech-M.Tech
Dual Deg.)",SC,Gender-Neutral,2538,2538
IIT Bhubaneswar,"Metallurgical and Materials
Engineering(5Years, B. Tech-M.Tech
Dual Deg.)",ST,Gender-Neutral,1357,1357
IIT Bombay,"Aerospace Engineering (4 Years, B.
Tech)",OPEN,Gender-Neutral,577,2119
IIT Bombay,"Aerospace Engineering (4 Years, B.
Tech)",OPEN,Female-only (including Supernumerary),2312,4081
IIT Bombay,"Aerospace Engineering (4 Years, B.
Tech)",OPEN (PwD),Gender-Neutral,164,164
IIT Bombay,"Aerospace Engineering (4 Years, B.
Tech)",EWS,Gender-Neutral,236,496
IIT Bombay,"Aerospace Engineering (4 Years, B.
Tech)",EWS,Female-only (including Supernumerary),1220,1325
IIT Bombay,"Aerospace Engineering (4 Years, B.
Tech)",OBC-NCL,Gender-Neutral,698,1211
IIT Bombay,"Aerospace Engineering (4 Years, B.
Tech)",OBC-NCL,Female-only (including Supernumerary),2993,3680
IIT Bombay,"Aerospace Engineering (4 Years, B.
Tech)",OBC-NCL (PwD),Gender-Neutral,14,14
IIT Bombay,"Aerospace Engineering (4 Years, B.
Tech)",SC,Gender-Neutral,275,726
IIT Bombay,"Aerospace Engineering (4 Years, B.
Tech)",SC,Female-only (including Supernumerary),470,1141
IIT Bombay,"Aerospace Engineering (4 Years, B.
Tech)",SC (PwD),Gender-Neutral,8,8
IIT Bombay,"Aerospace Engineering (4 Years, B.
Tech)",ST,Gender-Neutral,317,396
IIT Bombay,"Aerospace Engineering (4 Years, B.
Tech)",ST,Female-only (including Supernumerary),231,231
IIT Bombay,"BS in Mathematics (4 Years, Bachelor
of Science)",OPEN,Gender-Neutral,552,2158
IIT Bombay,"BS in Mathematics (4 Years, Bachelor
of Science)",OPEN,Female-only (including Supernumerary),1248,3895
IIT Bombay,"BS in Mathematics (4 Years, Bachelor
of Science)",EWS,Gender-Neutral,372,564
IIT Bombay,"BS in Mathematics (4 Years, Bachelor
of Science)",OBC-NCL,Gender-Neutral,1372,2029
IIT Bombay,"BS in Mathematics (4 Years, Bachelor
of Science)",OBC-NCL,Female-only (including Supernumerary),1924,1924
IIT Bombay,"BS in Mathematics (4 Years, Bachelor
of Science)",SC,Gender-Neutral,548,742
IIT Bombay,"BS in Mathematics (4 Years, Bachelor
of Science)",SC,Female-only (including Supernumerary),2391,2391
IIT Bombay,"BS in Mathematics (4 Years, Bachelor
of Science)",ST,Gender-Neutral,427,427
IIT Bombay,"Chemical Engineering (4 Years, B. Tech)",OPEN,Gender-Neutral,1420,2081
IIT Bombay,"Chemical Engineering (4 Years, B. Tech)",OPEN,Female-only (including Supernumerary),2571,4591
IIT Bombay,"Chemical Engineering (4 Years, B. Tech)",OPEN (PwD),Gender-Neutral,94,137
IIT Bombay,"Chemical Engineering (4 Years, B. Tech)",EWS,Gender-Neutral,337,461
IIT Bombay,"Chemical Engineering (4 Years, B. Tech)",EWS,Female-only (including Supernumerary),934,1145
IIT Bombay,"Chemical Engineering (4 Years, B. Tech)",OBC-NCL,Gender-Neutral,683,1173
IIT Bombay,"Chemical Engineering (4 Years, B. Tech)",OBC-NCL,Female-only (including Supernumerary),2395,3576
IIT Bombay,"Chemical Engineering (4 Years, B. Tech)",OBC-NCL (PwD),Gender-Neutral,10,13
IIT Bombay,"Chemical Engineering (4 Years, B. Tech)",SC,Gender-Neutral,416,698
IIT Bombay,"Chemical Engineering (4 Years, B. Tech)",SC,Female-only (including Supernumerary),885,1343
IIT Bombay,"Chemical Engineering (4 Years, B. Tech)",ST,Gender-Neutral,270,404
IIT Bombay,"Chemical Engineering (4 Years, B. Tech)",ST,Female-only (including Supernumerary),680,695
IIT Bombay,"Chemistry (4 Years, Bachelor of
Science)",OPEN,Gender-Neutral,4360,5500
IIT Bombay,"Chemistry (4 Years, Bachelor of
Science)",OPEN,Female-only (including Supernumerary),10036,11453
IIT Bombay,"Chemistry (4 Years, Bachelor of
Science)",EWS,Gender-Neutral,1103,1269
IIT Bombay,"Chemistry (4 Years, Bachelor of
Science)",EWS,Female-only (including Supernumerary),1968,1968
IIT Bombay,"Chemistry (4 Years, Bachelor of
Science)",OBC-NCL,Gender-Neutral,2261,3138
IIT Bombay,"Chemistry (4 Years, Bachelor of
Science)",OBC-NCL,Female-only (including Supernumerary),6306,6728
IIT Bombay,"Chemistry (4 Years, Bachelor of
Science)",SC,Gender-Neutral,1161,1788
IIT Bombay,"Chemistry (4 Years, Bachelor of
Science)",SC,Female-only (including Supernumerary),2399,2399
IIT Bombay,"Chemistry (4 Years, Bachelor of
Science)",ST,Gender-Neutral,969,1024
IIT Bombay,"Chemistry (4 Years, Bachelor of
Science)",ST,Female-only (including Supernumerary),1278,1278
IIT Bombay,"Civil Engineering (4 Years, B. Tech)",OPEN,Gender-Neutral,1941,3471
IIT Bombay,"Civil Engineering (4 Years, B. Tech)",OPEN,Female-only (including Supernumerary),4728,7079
IIT Bombay,"Civil Engineering (4 Years, B. Tech)",OPEN (PwD),Gender-Neutral,141,156
IIT Bombay,"Civil Engineering (4 Years, B. Tech)",EWS,Gender-Neutral,457,693
IIT Bombay,"Civil Engineering (4 Years, B. Tech)",EWS,Female-only (including Supernumerary),1370,1628
IIT Bombay,"Civil Engineering (4 Years, B. Tech)",EWS (PwD),Gender-Neutral,2,2
IIT Bombay,"Civil Engineering (4 Years, B. Tech)",OBC-NCL,Gender-Neutral,1022,1633
IIT Bombay,"Civil Engineering (4 Years, B. Tech)",OBC-NCL,Female-only (including Supernumerary),2638,4889
IIT Bombay,"Civil Engineering (4 Years, B. Tech)",OBC-NCL (PwD),Gender-Neutral,38,68
IIT Bombay,"Civil Engineering (4 Years, B. Tech)",SC,Gender-Neutral,253,851
IIT Bombay,"Civil Engineering (4 Years, B. Tech)",SC,Female-only (including Supernumerary),1193,1817
IIT Bombay,"Civil Engineering (4 Years, B. Tech)",ST,Gender-Neutral,72,257
IIT Bombay,"Civil Engineering (4 Years, B. Tech)",ST,Female-only (including Supernumerary),526,612
IIT Bombay,"Computer Science and Engineering (4
Years, B. Tech)",OPEN,Gender-Neutral,2,61
IIT Bombay,"Computer Science and Engineering (4
Years, B. Tech)",OPEN,Female-only (including Supernumerary),16,305
IIT Bombay,"Computer Science and Engineering (4
Years, B. Tech)",OPEN (PwD),Gender-Neutral,2,5
IIT Bombay,"Computer Science and Engineering (4
Years, B. Tech)",EWS,Gender-Neutral,5,18
IIT Bombay,"Computer Science and Engineering (4
Years, B. Tech)",EWS,Female-only (including Supernumerary),48,57
IIT Bombay,"Computer Science and Engineering (4
Years, B. Tech)",EWS (PwD),Gender-Neutral,2,2
IIT Bombay,"Computer Science and Engineering (4
Years, B. Tech)",OBC-NCL,Gender-Neutral,9,51
IIT Bombay,"Computer Science and Engineering (4
Years, B. Tech)",OBC-NCL,Female-only (including Supernumerary),29,136
IIT Bombay,"Computer Science and Engineering (4
Years, B. Tech)",OBC-NCL (PwD),Gender-Neutral,1,2
IIT Bombay,"Computer Science and Engineering (4
Years, B. Tech)",OBC-NCL (PwD),Female-only (including Supernumerary),45,45
IIT Bombay,"Computer Science and Engineering (4
Years, B. Tech)",SC,Gender-Neutral,1,23
IIT Bombay,"Computer Science and Engineering (4
Years, B. Tech)",SC,Female-only (including Supernumerary),63,107
IIT Bombay,"Computer Science and Engineering (4
Years, B. Tech)",SC (PwD),Gender-Neutral,1,1
IIT Bombay,"Computer Science and Engineering (4
Years, B. Tech)",ST,Gender-Neutral,1,9
IIT Bombay,"Computer Science and Engineering (4
Years, B. Tech)",ST,Female-only (including Supernumerary),11,55
IIT Bombay,"Computer Science and Engineering (4
Years, B. Tech)",ST (PwD),Gender-Neutral,2,2
IIT Bombay,"Economics (4 Years, Bachelor of
Science)",OPEN,Gender-Neutral,1577,2107
IIT Bombay,"Economics (4 Years, Bachelor of
Science)",OPEN,Female-only (including Supernumerary),3238,4590
IIT Bombay,"Economics (4 Years, Bachelor of
Science)",OPEN (PwD),Gender-Neutral,61,61
IIT Bombay,"Economics (4 Years, Bachelor of
Science)",EWS,Gender-Neutral,377,437
IIT Bombay,"Economics (4 Years, Bachelor of
Science)",EWS,Female-only (including Supernumerary),674,674
IIT Bombay,"Economics (4 Years, Bachelor of
Science)",OBC-NCL,Gender-Neutral,738,1191
IIT Bombay,"Economics (4 Years, Bachelor of
Science)",OBC-NCL,Female-only (including Supernumerary),1693,1693
IIT Bombay,"Economics (4 Years, Bachelor of
Science)",SC,Gender-Neutral,559,882
IIT Bombay,"Economics (4 Years, Bachelor of
Science)",SC,Female-only (including Supernumerary),1215,1215
IIT Bombay,"Economics (4 Years, Bachelor of
Science)",ST,Gender-Neutral,274,436
IIT Bombay,"Economics (4 Years, Bachelor of
Science)",ST,Female-only (including Supernumerary),1102,1102
IIT Bombay,"Electrical Engineering (4 Years, B. Tech)",OPEN,Gender-Neutral,103,369
IIT Bombay,"Electrical Engineering (4 Years, B. Tech)",OPEN,Female-only (including Supernumerary),1065,1341
IIT Bombay,"Electrical Engineering (4 Years, B. Tech)",OPEN (PwD),Gender-Neutral,38,38
IIT Bombay,"Electrical Engineering (4 Years, B. Tech)",OPEN (PwD),Female-only (including Supernumerary),158,158
IIT Bombay,"Electrical Engineering (4 Years, B. Tech)",EWS,Gender-Neutral,64,114
