Institute,Program,Quota,Seat Type,Gender,OR,CR
Indian Institute of Information Technology Guwahati,"Computer Science and Engineering (4 Years, B.Tech)",AI,OPEN (PwD),Female-only (including Supernumerary),2453.0,2453.0
Indian Institute of Information Technology Guwahati,"Computer Science and Engineering (4 Years, B.Tech)",AI,EWS,Gender-Neutral,3243.0,3551.0
Indian Institute of Information Technology Guwahati,"Computer Science and Engineering (4 Years, B.Tech)",AI,EWS,Female-only (including Supernumerary),5082.0,5385.0
Indian Institute of Information Technology Guwahati,"Computer Science and Engineering (4 Years, B.Tech)",AI,OBC-NCL,Gender-Neutral,5512.0,8445.0
Indian Institute of Information Technology Guwahati,"Computer Science and Engineering (4 Years, B.Tech)",AI,OBC-NCL,Female-only (including Supernumerary),10414.0,13481.0
Indian Institute of Information Technology Guwahati,"Computer Science and Engineering (4 Years, B.Tech)",AI,OBC-NCL (PwD),Gender-Neutral,1398.0,1399.0
Indian Institute of Information Technology Guwahati,"Computer Science and Engineering (4 Years, B.Tech)",AI,SC,Gender-Neutral,3874.0,5209.0
Indian Institute of Information Technology Guwahati,"Computer Science and Engineering (4 Years, B.Tech)",AI,SC,Female-only (including Supernumerary),4417.0,6963.0
Indian Institute of Information Technology Guwahati,"Computer Science and Engineering (4 Years, B.Tech)",AI,SC (PwD),Gender-Neutral,141.0,141.0
Indian Institute of Information Technology Guwahati,"Computer Science and Engineering (4 Years, B.Tech)",AI,ST,Gender-Neutral,1335.0,2701.0
Indian Institute of Information Technology Guwahati,"Computer Science and Engineering (4 Years, B.Tech)",AI,ST,Female-only (including Supernumerary),3079.0,3264.0
Indian Institute of Information Technology Guwahati,"Electronics and Communication Engineering (4 Years, B.Tech)",AI,OPEN,Gender-Neutral,17226.0,30437.0
Indian Institute of Information Technology Guwahati,"Electronics and Communication Engineering (4 Years, B.Tech)",AI,OPEN,Female-only (including Supernumerary),33374.0,38176.0
Indian Institute of Information Technology Guwahati,"Electronics and Communication Engineering (4 Years, B.Tech)",AI,OPEN (PwD),Gender-Neutral,1332.0,2723.0
Indian Institute of Information Technology Guwahati,"Electronics and Communication Engineering (4 Years, B.Tech)",AI,EWS,Gender-Neutral,4982.0,5528.0
Indian Institute of Information Technology Guwahati,"Electronics and Communication Engineering (4 Years, B.Tech)",AI,EWS,Female-only (including Supernumerary),6177.0,6177.0
Indian Institute of Information Technology Guwahati,"Electronics and Communication Engineering (4 Years, B.Tech)",AI,OBC-NCL,Gender-Neutral,8786.0,13518.0
Indian Institute of Information Technology Guwahati,"Electronics and Communication Engineering (4 Years, B.Tech)",AI,OBC-NCL,Female-only (including Supernumerary),16034.0,17942.0
