Institute,Program,Seat Type,Gender,OR,CR
IIT Bombay,Civil Engineering (4 Years B.Tech),OBC-NCL,Gender-Neutral,1076,1979
IIT Bombay,Civil Engineering (4 Years B.Tech),OBC-NCL,Female-only (including Supernumerary),3419,4709
IIT Bombay,Civil Engineering (4 Years B.Tech),OBC-NCL (PwD),Gender-Neutral,50,53
IIT Bombay,Civil Engineering (4 Years B.Tech),OPEN,Gender-Neutral,2244,4046
IIT Bombay,Civil Engineering (4 Years B.Tech),OPEN,Female-only (including Supernumerary),6334,8833
IIT Bombay,Civil Engineering (4 Years B.Tech),OPEN (PwD),Gender-Neutral,142,151
IIT Bombay,Civil Engineering (4 Years B.Tech),OPEN (PwD),Female-only (including Supernumerary),148,148
IIT Bombay,Civil Engineering (4 Years B.Tech),SC,Gender-Neutral,580,1002
IIT Bombay,Civil Engineering (4 Years B.Tech),SC,Female-only (including Supernumerary),770,1986
IIT Bombay,Civil Engineering (4 Years B.Tech),ST,Gender-Neutral,41,331
IIT Bombay,Civil Engineering (4 Years B.Tech),ST,Female-only (including Supernumerary),601,623
IIT Bombay,Computer Science and Engineering (4 Years B.Tech),EWS,Gender-Neutral,7,23
IIT Bombay,Computer Science and Engineering (4 Years B.Tech),EWS,Female-only (including Supernumerary),43,79
IIT Bombay,Computer Science and Engineering (4 Years B.Tech),EWS (PwD),Gender-Neutral,3,3
IIT Bombay,Computer Science and Engineering (4 Years B.Tech),OBC-NCL,Gender-Neutral,5,50
IIT Bombay,Computer Science and Engineering (4 Years B.Tech),OBC-NCL,Female-only (including Supernumerary),66,274
IIT Bombay,Computer Science and Engineering (4 Years B.Tech),OBC-NCL (PwD),Gender-Neutral,1,2
IIT Bombay,Computer Science and Engineering (4 Years B.Tech),OBC-NCL (PwD),Female-only (including Supernumerary),20,20
IIT Bombay,Computer Science and Engineering (4 Years B.Tech),OPEN,Gender-Neutral,1,68
IIT Bombay,Computer Science and Engineering (4 Years B.Tech),OPEN,Female-only (including Supernumerary),7,421
IIT Bombay,Computer Science and Engineering (4 Years B.Tech),OPEN (PwD),Gender-Neutral,1,3
IIT Bombay,Computer Science and Engineering (4 Years B.Tech),OPEN (PwD),Female-only (including Supernumerary),7,7
IIT Bombay,Computer Science and Engineering (4 Years B.Tech),SC,Gender-Neutral,1,32
IIT Bombay,Computer Science and Engineering (4 Years B.Tech),SC,Female-only (including Supernumerary),10,71
IIT Bombay,Computer Science and Engineering (4 Years B.Tech),SC (PwD),Gender-Neutral,1,1
IIT Bombay,Computer Science and Engineering (4 Years B.Tech),ST,Gender-Neutral,1,13
IIT Bombay,Computer Science and Engineering (4 Years B.Tech),ST,Female-only (including Supernumerary),16,40
IIT Bombay,Computer Science and Engineering (4 Years B.Tech),ST (PwD),Gender-Neutral,1,1
IIT Bombay,Electrical Engineering (4 Years B.Tech),EWS,Gender-Neutral,57,116
IIT Bombay,Electrical Engineering (4 Years B.Tech),EWS,Female-only (including Supernumerary),208,455
IIT Bombay,Electrical Engineering (4 Years B.Tech),EWS (PwD),Gender-Neutral,21,21
IIT Bombay,Electrical Engineering (4 Years B.Tech),OBC-NCL,Gender-Neutral,131,325
IIT Bombay,Electrical Engineering (4 Years B.Tech),OBC-NCL,Female-only (including Supernumerary),608,830
IIT Bombay,Electrical Engineering (4 Years B.Tech),OBC-NCL (PwD),Gender-Neutral,23,23
IIT Bombay,Electrical Engineering (4 Years B.Tech),OPEN,Gender-Neutral,15,496
IIT Bombay,Electrical Engineering (4 Years B.Tech),OPEN,Female-only (including Supernumerary),642,1339
IIT Bombay,Electrical Engineering (4 Years B.Tech),OPEN (PwD),Gender-Neutral,14,30
IIT Bombay,Electrical Engineering (4 Years B.Tech),OPEN (PwD),Female-only (including Supernumerary),77,77
IIT Bombay,Electrical Engineering (4 Years B.Tech),SC,Gender-Neutral,34,171
IIT Bombay,Electrical Engineering (4 Years B.Tech),SC,Female-only (including Supernumerary),196,368
IIT Bombay,Electrical Engineering (4 Years B.Tech),SC (PwD),Gender-Neutral,10,10
IIT Bombay,Electrical Engineering (4 Years B.Tech),ST,Gender-Neutral,36,79
